Buyer Full Name,Buyer SSN,Seller Full Name,Seller SSN,Witness Full Name,Witness SSN,Property Address,City,State,Square Feet,Property Category,Closing Date,Sale Amount (USD),Notes
James Lewis,335-44-6212,Robert Stevens,313-30-3653,David Baker,811-81-9664,"872 Alexandria Villages, Murraystad, GA 10243",Murraystad,GA,1793,Townhouse,2021-10-19,393816,1031 exchange
Benjamin Beck,339-80-5144,Katherine Browning,076-11-5278,,,"49818 Brittany Prairie Apt. 299, Meghanview, ID 44753",Meghanview,ID,1646,Townhouse,2024-06-28,437691,1031 exchange
Haley Hartman,,Jordan York,071-77-1114,Heather Foster,601-26-8483,"731 Donald Crossing Suite 565, Jenniferberg, PW 18828",Jenniferberg,PW,1646,Condominium,2024-04-24,532236,
Brian Bruce,377-15-4565,Sandra Sanchez,,,,"374 Lori Underpass Suite 724, Lake Katrina, AK 32223",Lake Katrina,AK,,Land/Lot,2023-02-10,206958,Estate sale
William Huerta,,Amanda Reese,,,,"406 Velasquez Summit Apt. 910, Bryantton, OH 56035",Bryantton,OH,1470,Townhouse,2024-06-13,318749,Short sale
Stephanie Miller,,Christopher Smith,547-17-4495,,,"8662 Miller River, Kristenmouth, NM 39216",Kristenmouth,NM,,Land/Lot,2024-04-17,364046,Foreclosure
Allison Hill,229-18-1680,Kevin Hayes,227-79-0711,,,"218 Chelsey Expressway, South Kiara, WV 58185",South Kiara,WV,,Land/Lot,2021-04-22,158347,1031 exchange
Mrs. Brittany Ryan MD,,Carmen Rose,622-55-3471,,,"6586 Maria Turnpike Apt. 271, South Samuelchester, GA 04880",South Samuelchester,GA,4734,Multi-Family,2023-03-26,798548,
Cynthia Martin,820-23-6756,Alex Spencer,603-29-0118,,,"3315 Buchanan Stravenue, Port Jennamouth, NV 00668",Port Jennamouth,NV,2546,Multi-Family,2024-02-28,391091,Foreclosure
Anthony Stone,638-97-8168,Denise Davenport,484-32-7484,,,"403 Joyce Centers Apt. 343, West Russellport, TX 18488",West Russellport,TX,1483,Townhouse,2022-01-07,444138,Estate sale
Anna Walker,219-85-5438,Michael Fox,,,,"877 Kenneth Run Apt. 581, Scottport, AK 13078",Scottport,AK,810,Condominium,2023-03-03,230210,
Jeffrey Daniels,310-79-8667,David Alvarez,,Christopher Smith,547-17-4495,"7240 Kenneth Rapids, East Robertburgh, PW 14565",East Robertburgh,PW,3127,Single-Family Home,2022-03-20,787995,
Parker Cain,570-08-9609,Michelle Schmitt,,,,"164 Walker Tunnel Apt. 181, Richardbury, NE 70048",Richardbury,NE,10166,Commercial,2021-01-14,2809375,
Mark Perez,033-43-1161,Gabrielle Davis,100-46-5636,,,"25286 Carlson Ports Suite 627, Lake Dennisville, IA 83797",Lake Dennisville,IA,992,Condominium,2022-10-11,277626,1031 exchange
Jennifer Thomas,,Juan Tran,096-29-1859,,,"59774 Shaw Manor Apt. 392, Youngbury, ME 33269",Youngbury,ME,1302,Condominium,2021-07-20,413644,Contingent on inspection
Benjamin Beck,339-80-5144,Patrick Moore,425-84-1623,Shannon Mcclure,798-55-3586,"02578 Hernandez Passage, East Carrie, MO 18822",East Carrie,MO,1444,Condominium,2021-04-20,398624,Estate sale
Michael Mitchell,233-96-1481,Richard Rodriguez,894-05-7712,,,"56856 Hernandez Lane Apt. 873, Lake Erika, OH 30037",Lake Erika,OH,1672,Single-Family Home,2021-03-06,396909,
Maria Henry,812-03-1525,Jordan Frazier,,Lisa Allen,598-19-3805,"584 Mario Squares, Port Jamie, IL 38857",Port Jamie,IL,1731,Townhouse,2024-12-28,503528,Contingent on inspection
Courtney Mills,462-57-4872,Desiree Smith,196-11-3955,Heather Foster,601-26-8483,"38367 Teresa Divide Suite 103, Aaronfurt, PR 68626",Aaronfurt,PR,1389,Single-Family Home,2021-04-13,271942,
Susan Hopkins,,Erik Scott,157-88-7771,,,"40415 Douglas Summit Suite 338, Huangfurt, GU 36038",Huangfurt,GU,1146,Condominium,2021-10-04,310937,Foreclosure
Roberta Hughes,680-84-2493,Paul Jones,,,,"68685 Stone Well, Port Brooke, MD 02121",Port Brooke,MD,3061,Multi-Family,2022-02-14,598855,Short sale
Misty Whitney,867-72-5993,William Wilson,591-25-4174,Ronald Davis,,"8516 Jack Dam Suite 530, East Cheryl, SC 34682",East Cheryl,SC,3432,Multi-Family,2024-05-23,559294,Contingent on inspection
Christian Lewis,,Heather Lane,218-20-7901,,,"7569 Kevin Rapids Apt. 752, East Kevinfurt, MA 52699",East Kevinfurt,MA,1345,Condominium,2023-09-10,412580,Cash sale
Valerie Gray,566-38-5926,Marie Kim DDS,124-32-3682,,,"664 Richard Islands Apt. 975, South Samanthamouth, OK 12052",South Samanthamouth,OK,6456,Commercial,2022-06-21,1571630,Estate sale
Martin Wise,639-07-9731,Mary Valdez MD,707-15-6829,,,"926 William River Apt. 411, West Robertville, TN 65740",West Robertville,TN,3657,Multi-Family,2022-02-06,661755,
Morgan Davis,,Stephanie Lucas,317-57-0547,,,"0544 Cameron Walks Apt. 324, North Julie, PW 97982",North Julie,PW,,Land/Lot,2021-06-01,125707,
Amanda Reese,,Richard Rodriguez,894-05-7712,,,"1778 Anderson Village, Hammondshire, CA 72761",Hammondshire,CA,1480,Condominium,2023-07-09,421706,
Taylor Mathis Jr.,434-36-0723,John Hancock,,Taylor Coleman,,"5269 Diaz Springs, South Danielle, CA 23146",South Danielle,CA,,Land/Lot,2023-11-08,249702,
Elizabeth Ortiz,,Paul Young,,James Lewis,335-44-6212,"0165 Stephanie Divide Suite 021, Williamsstad, RI 31433",Williamsstad,RI,1658,Commercial,2021-01-03,403218,Short sale
Kristina Santiago,421-46-6930,Michael Martinez,,,,"22927 Robert Springs Apt. 794, Nancyberg, PA 99118",Nancyberg,PA,2138,Townhouse,2021-04-05,475614,Foreclosure
David Scott,010-60-4713,Ray Walsh,,Jamie Stewart,,"072 Carolyn Branch, West Denise, NY 29830",West Denise,NY,1587,Townhouse,2024-12-22,486098,Contingent on inspection
Melanie Herrera,274-99-5574,Elizabeth Sutton,825-16-9273,,,"35733 Eric Hill Apt. 888, Romerotown, MN 05448",Romerotown,MN,1157,Condominium,2023-04-04,367846,
Austin Vasquez,,Elijah Johnson,333-08-4807,,,"825 Jeffrey Fork Suite 655, West Connor, DC 34653",West Connor,DC,1038,Condominium,2023-05-07,305468,
Maria Harper,022-07-5465,Belinda Mccullough,,Christina Brooks,166-70-8690,"8662 Miller River, Kristenmouth, NM 39216",Kristenmouth,NM,,Land/Lot,2021-03-01,84112,Cash sale
Maria Lynch,,Brenda White,,Johnny Nguyen,500-28-5814,"43006 Fuller Parkway, Bestland, AK 54952",Bestland,AK,773,Condominium,2021-10-05,286774,Estate sale
Mr. Martin Hernandez,847-72-0895,Timothy Wagner,481-64-2710,,,"3177 Miller Parks Suite 517, Brentbury, OH 98180",Brentbury,OH,3798,Single-Family Home,2023-09-28,905270,
Norman Cook,422-86-4066,Valerie Gray,566-38-5926,,,"753 Edwards Cape, Williamfort, NH 74232",Williamfort,NH,8619,Commercial,2024-02-08,2742693,Estate sale
Tyler Reid,849-59-2507,Hannah Patterson,,,,"2099 Deborah Parks Suite 870, Jasonburgh, KY 11998",Jasonburgh,KY,4024,Multi-Family,2024-05-01,794338,
Destiny Strickland,497-81-3920,Patrick Arnold,,Kimberly Gibson,330-25-3913,"2655 Christopher Inlet, Lake Charles, KY 58793",Lake Charles,KY,,Land/Lot,2021-11-22,203665,Cash sale
Paul Jones,,Barbara Anderson,476-86-8703,,,"226 Johnson Ridges Apt. 796, Mullenbury, AS 51466",Mullenbury,AS,3336,Multi-Family,2022-12-21,685118,
Trevor Fisher,,Vanessa Patel,129-17-7788,,,"667 Cynthia Trafficway Apt. 684, Burnsshire, SC 91557",Burnsshire,SC,1487,Townhouse,2023-12-07,378238,Foreclosure
Brandi Bailey,071-32-6055,Taylor Mathis Jr.,434-36-0723,,,"0165 Stephanie Divide Suite 021, Williamsstad, RI 31433",Williamsstad,RI,1658,Commercial,2023-03-18,430769,Short sale
Caleb King,719-20-3367,Martin Wise,639-07-9731,Mary Valdez MD,707-15-6829,"926 William River Apt. 411, West Robertville, TN 65740",West Robertville,TN,3657,Multi-Family,2022-03-14,1058808,
Roberta Hughes,680-84-2493,Diana Washington,553-17-9356,,,"8580 Payne Manors, Dunnville, OK 13924",Dunnville,OK,,Land/Lot,2024-12-13,407151,
Richard Young,332-03-2855,Kimberly Gibson,330-25-3913,Debbie Carpenter,272-05-1777,"814 Kathryn Groves, Lake Timothystad, OH 59394",Lake Timothystad,OH,1140,Condominium,2023-10-21,421869,Cash sale
Arthur West,,Cynthia Rowe,045-41-7750,Keith Jennings,,"7584 Jessica Common, Klinefurt, MA 56941",Klinefurt,MA,1504,Condominium,2023-06-14,553796,Short sale
Mary Marshall,,Renee Bruce,,,,"38367 Teresa Divide Suite 103, Aaronfurt, PR 68626",Aaronfurt,PR,1389,Single-Family Home,2024-02-29,352624,1031 exchange
Joseph Ramos,285-24-9591,Andrea Martin,,,,"773 Morris Rue Apt. 193, North Tamara, GA 70644",North Tamara,GA,5572,Multi-Family,2021-11-23,1052412,Foreclosure
Parker Cain,570-08-9609,Jane Harper,302-59-8283,,,"56856 Hernandez Lane Apt. 873, Lake Erika, OH 30037",Lake Erika,OH,1672,Single-Family Home,2023-07-25,393774,1031 exchange
Dr. Ashley James MD,,Sabrina Austin,659-72-0431,Cynthia Wilson,584-32-9486,"83301 Rivera Mountains, Derrickshire, IA 13679",Derrickshire,IA,821,Condominium,2022-08-16,305589,Contingent on inspection
Natasha Wells,266-97-4051,Erik Scott,157-88-7771,,,"6471 King Gateway Suite 993, Trevorland, GA 60513",Trevorland,GA,,Land/Lot,2021-12-30,268792,Cash sale
Stephanie Lucas,317-57-0547,Ellen Morgan,007-24-2348,Jordan Frazier,,"8815 Steven Grove, Jessicastad, MO 59430",Jessicastad,MO,,Land/Lot,2024-07-21,218771,Estate sale
Cameron Cunningham,,Katherine Chang,,,,"79796 Stephens Turnpike Suite 891, Donnachester, WY 14836",Donnachester,WY,2176,Townhouse,2022-09-11,589143,Cash sale
Robert Costa,,Richard Rodriguez,894-05-7712,,,"072 Carolyn Branch, West Denise, NY 29830",West Denise,NY,1587,Townhouse,2021-01-06,381241,
Christian Lewis,,Cynthia Martin,820-23-6756,,,"5892 Kramer Springs Apt. 017, Summersfort, KY 02635",Summersfort,KY,11439,Commercial,2021-06-07,2884055,1031 exchange
John Peterson,053-33-7828,Jeremy Young,,,,"82422 Donovan Fork, Port Tammy, NE 45854",Port Tammy,NE,685,Condominium,2023-08-18,238993,Cash sale
Thomas Schmidt,,Patrick Arnold,,,,"7584 Jessica Common, Klinefurt, MA 56941",Klinefurt,MA,1504,Condominium,2022-01-19,476679,Short sale
Desiree Tyler,425-44-8319,Megan Richards,843-82-6087,,,"59774 Shaw Manor Apt. 392, Youngbury, ME 33269",Youngbury,ME,1302,Condominium,2022-08-13,440012,1031 exchange
Michael Elliott,224-60-4199,Thomas Schmidt,,,,"68733 Williams Haven, Jimenezport, NM 65367",Jimenezport,NM,8158,Commercial,2022-06-09,1970289,
Sandra Sanchez,,Mary Nguyen,714-38-9084,Renee Bruce,,"584 Mario Squares, Port Jamie, IL 38857",Port Jamie,IL,1731,Townhouse,2021-12-14,391870,
Carol Lawson,766-92-1877,Renee Bruce,,,,"995 Hernandez Cliff Suite 744, Port Courtney, NH 78019",Port Courtney,NH,6405,Commercial,2023-01-10,1784549,Short sale
Dylan Miller,,Maria Henry,812-03-1525,,,"0544 Cameron Walks Apt. 324, North Julie, PW 97982",North Julie,PW,,Land/Lot,2021-03-24,151850,Foreclosure
Terri Mckinney,691-96-8748,Erica Wilson,361-72-7871,Ryan Stokes,536-14-0415,"44204 Karen Bypass Suite 719, Thomaston, ID 89043",Thomaston,ID,1602,Condominium,2023-09-22,508282,
Lisa Barnes,598-73-8566,Jonathan Peterson,870-54-8032,Michael Johnson,850-85-6485,"182 Nguyen Mount, Lake Jasonview, WV 15437",Lake Jasonview,WV,4855,Multi-Family,2021-12-07,968980,Contingent on inspection
Michael White,180-11-9986,David Scott,010-60-4713,,,"103 Burns Mission Apt. 798, West Micheal, NH 46344",West Micheal,NH,,Land/Lot,2021-08-22,242412,Foreclosure
Cynthia Wilson,584-32-9486,Michael Cross,803-72-7974,,,"2513 Haas Expressway, East Carriebury, SC 83887",East Carriebury,SC,848,Condominium,2021-11-01,248786,Cash sale
Jeremy Young,,Latoya Robbins,218-84-8180,,,"49818 Brittany Prairie Apt. 299, Meghanview, ID 44753",Meghanview,ID,1646,Townhouse,2021-05-18,388619,Contingent on inspection
Frederick Tate,058-30-0526,Krista Gibson,323-33-5297,Jeffrey Henderson,479-94-0888,"43006 Fuller Parkway, Bestland, AK 54952",Bestland,AK,773,Condominium,2022-07-12,253897,Foreclosure
Timothy Long,469-25-5537,Michaela Williams,169-64-2302,Natalie Ortiz,261-79-3210,"9827 Alyssa Causeway Suite 978, Port Robertshire, DE 23727",Port Robertshire,DE,2586,Multi-Family,2024-01-30,727305,
Jennifer Blair,,Mark Perez,033-43-1161,,,"1825 Gregory Plain Suite 823, Brooksfurt, NV 00956",Brooksfurt,NV,2213,Townhouse,2023-02-24,490031,
Jennifer Blair,,Paul Jones,,,,"20472 West Avenue Apt. 043, West Jeffreymouth, CT 20098",West Jeffreymouth,CT,1004,Townhouse,2023-04-01,262721,
Gary Owens,064-27-6884,Denise Davenport,484-32-7484,,,"3875 Bruce Ville, Priceton, OR 86695",Priceton,OR,4842,Multi-Family,2024-07-19,890095,
Paul Young,,Matthew Miller,288-18-8825,Michael Calhoun,,"999 Thomas Fields, Stevenville, NJ 66099",Stevenville,NJ,2899,Single-Family Home,2024-07-29,619819,
Vanessa Patel,129-17-7788,Dr. Ashley James MD,,,,"08484 Wayne Square Suite 211, Hopkinstown, AL 69233",Hopkinstown,AL,2777,Single-Family Home,2022-01-24,755905,Foreclosure
Lindsey Parsons,,Juan Smith,258-26-7260,,,"2025 Kim Road Suite 798, New Meghan, AL 47435",New Meghan,AL,2519,Single-Family Home,2024-03-13,475024,
Paul Young,,Randy Shah,021-98-9433,Michelle Harris,650-34-8281,"072 Carolyn Branch, West Denise, NY 29830",West Denise,NY,1587,Townhouse,2021-02-13,345264,1031 exchange
Sarah Ward,694-41-6980,Anna Chang,047-02-2268,,,"7467 Banks Union Apt. 120, West Lisaburgh, DE 21393",West Lisaburgh,DE,3128,Single-Family Home,2022-09-22,620154,
Christian Lewis,,Christopher Jenkins,508-37-6562,,,"2655 Christopher Inlet, Lake Charles, KY 58793",Lake Charles,KY,,Land/Lot,2021-02-01,171048,
Michelle Harris,650-34-8281,Aaron Hayes,,,,"825 Jeffrey Fork Suite 655, West Connor, DC 34653",West Connor,DC,1038,Condominium,2023-12-29,285538,1031 exchange
Rebecca Ramsey,861-60-2092,Michelle Schmitt,,Raymond Hancock,845-01-8890,"406 Velasquez Summit Apt. 910, Bryantton, OH 56035",Bryantton,OH,1470,Townhouse,2022-07-13,376442,Estate sale
Barbara Anderson,476-86-8703,Shelly Alexander,,Brett Schultz,894-13-7270,"960 Preston Isle, Johnsonview, MO 91008",Johnsonview,MO,9439,Commercial,2023-06-22,2539229,Short sale
Jason Peterson,,Sabrina Austin,659-72-0431,,,"271 Patrick Street Apt. 155, Lake Matthewville, VI 39724",Lake Matthewville,VI,3811,Multi-Family,2024-11-03,718008,Foreclosure
Amanda Juarez,238-09-4332,Keith Knight,894-19-7922,Andrew Clark,811-47-6359,"84498 Nicholas Lane Suite 918, Hardinton, AZ 33476",Hardinton,AZ,1020,Condominium,2023-12-04,348491,
Mary Steele,030-24-4478,Margaret Mullins,106-02-9406,Shannon Mcclure,798-55-3586,"1825 Gregory Plain Suite 823, Brooksfurt, NV 00956",Brooksfurt,NV,2213,Townhouse,2024-05-28,647730,1031 exchange
Joshua Price,380-86-8851,Tyler Medina,008-81-1073,,,"8831 Garcia Underpass Apt. 100, Loriburgh, AK 29636",Loriburgh,AK,4685,Commercial,2023-11-08,759700,Below market
Jennifer Thomas,,Corey Murphy,886-09-4574,Shannon Jones,,"51238 Andrea Isle, Carloston, AS 73881",Carloston,AS,2265,Townhouse,2021-02-20,590660,
Valerie Gray,566-38-5926,Aaron Barber,858-76-9502,,,"03697 Daniel Parks Apt. 893, Rodriguezport, IA 94682",Rodriguezport,IA,3798,Single-Family Home,2022-12-08,790816,
Cameron Cunningham,,Christina Brooks,166-70-8690,,,"5187 Miguel Highway Suite 937, Jonesmouth, VI 48771",Jonesmouth,VI,1360,Townhouse,2021-09-28,358801,
Shelly Alexander,,Annette Miles,874-84-9034,,,"49021 Elizabeth Valley Suite 938, Williamsmouth, NH 08494",Williamsmouth,NH,8491,Commercial,2023-12-24,2180070,Short sale
Morgan Davis,,Jennifer Thomas,,,,"3875 Bruce Ville, Priceton, OR 86695",Priceton,OR,4842,Multi-Family,2023-08-24,1045111,
Mary Steele,030-24-4478,Cynthia Martin,820-23-6756,,,"37524 Sharon Stream Apt. 069, West Stevenside, NE 02551",West Stevenside,NE,8048,Commercial,2023-08-03,2312529,
Michael Mitchell,233-96-1481,Shannon Jones,,,,"999 Thomas Fields, Stevenville, NJ 66099",Stevenville,NJ,2899,Single-Family Home,2022-08-28,745706,
Raymond Hancock,845-01-8890,Brooke Thompson,,,,"6465 Sarah Flats, Kellyfort, OK 78125",Kellyfort,OK,2286,Multi-Family,2021-10-07,510376,Estate sale
Michelle Harris,650-34-8281,Erin Warner,278-40-4119,,,"22356 Thomas Wall Apt. 175, Port Erinhaven, ME 83211",Port Erinhaven,ME,3355,Multi-Family,2024-07-20,654715,Estate sale
Nathan Frank,582-77-1392,Randy Shah,021-98-9433,,,"784 David Court Suite 558, West Angela, CA 48421",West Angela,CA,932,Condominium,2024-09-06,301307,Contingent on inspection
Parker Hill,,Diane Beck,635-43-1531,,,"89023 Mary Gateway Apt. 705, North Larry, NY 92858",North Larry,NY,2317,Multi-Family,2023-06-12,460398,
Matthew Miller,288-18-8825,Julie Howard,313-63-9039,Nicholas Sims,745-10-0306,"84887 Michael Fork, Port Bonniefurt, WI 77781",Port Bonniefurt,WI,3911,Single-Family Home,2022-01-21,747957,
Morgan Marsh,226-63-3596,Tracy Torres,505-15-1593,Rebecca Rodriguez,888-04-2160,"53654 Ashley Crest Apt. 238, Port Austin, AS 06520",Port Austin,AS,,Land/Lot,2022-04-13,276957,Estate sale
Valerie Williams,367-27-4089,Amanda Reese,,,,"685 Campos Dam, Hickmanport, GA 90850",Hickmanport,GA,2006,Multi-Family,2022-04-25,424743,Contingent on inspection
David Grant,427-78-9767,Lindsey Johnson,235-87-9425,,,"27868 Jose Green, Raymondview, IA 92780",Raymondview,IA,,Land/Lot,2021-06-13,231924,Cash sale
Alex Spencer,603-29-0118,Heather Castro,896-53-2533,Misty Whitney,867-72-5993,"05411 Ford Plaza Apt. 793, West Williamport, NH 42644",West Williamport,NH,,Land/Lot,2021-07-07,338125,Foreclosure
Nicholas Martin,389-35-9126,Janet Weeks,521-96-2237,,,"91485 Baker Shoal, Rodriguezberg, FL 64147",Rodriguezberg,FL,1167,Condominium,2024-02-29,328067,Foreclosure
Michael Elliott,224-60-4199,Cindy Hayes,234-53-5554,,,"8662 Miller River, Kristenmouth, NM 39216",Kristenmouth,NM,,Land/Lot,2021-06-11,266991,
Olivia Harris,563-17-4720,Debbie Carpenter,272-05-1777,,,"2190 Kelly Harbor Apt. 842, Ortizfort, MT 60443",Ortizfort,MT,4774,Multi-Family,2022-10-01,978454,1031 exchange
Jacob Tran,,Morgan Davis,,Patrick Arnold,,"5060 Shaw Freeway, Port Samuel, PW 51116",Port Samuel,PW,9504,Commercial,2022-07-22,2957387,
Mary Bryant,350-47-0890,Ashley Gutierrez,571-71-0003,Rebecca Richmond,653-39-8329,"571 Katherine Forges Apt. 554, Port Shawn, OH 72287",Port Shawn,OH,4170,Multi-Family,2022-03-25,1164140,
Olivia Brennan,037-80-1122,Diana Washington,553-17-9356,,,"80003 Thomas Lights, Ericville, MH 20172",Ericville,MH,2162,Single-Family Home,2024-05-09,495471,Short sale
Jennifer Jones,,Erin Warner,278-40-4119,,,"0462 Katie Stream, Isabellaside, AR 85157",Isabellaside,AR,2343,Single-Family Home,2024-01-07,497660,1031 exchange
Jordan York,071-77-1114,Diana Washington,553-17-9356,Dana Kennedy,417-25-1546,"757 Samuel Square, West Larry, NH 59804",West Larry,NH,1938,Townhouse,2021-12-15,583906,Short sale
Heather Lane,218-20-7901,Annette Farmer,641-28-4336,,,"537 Ford Walk, East Shannonmouth, MT 16218",East Shannonmouth,MT,3697,Multi-Family,2021-02-04,663691,Estate sale
Timothy Wagner,481-64-2710,John Allen,,Mr. Martin Hernandez,847-72-0895,"3177 Miller Parks Suite 517, Brentbury, OH 98180",Brentbury,OH,3798,Single-Family Home,2023-10-10,1222114,
Anthony Stone,638-97-8168,Steven Howard,193-22-6610,Michael Calhoun,,"4422 Stacy Ports, Jeffreyshire, GU 51828",Jeffreyshire,GU,3483,Single-Family Home,2024-11-10,866051,
Dana Marshall,625-86-6210,Dana Kennedy,417-25-1546,,,"12432 Kathleen Shoal, Port Michael, VA 10377",Port Michael,VA,3935,Single-Family Home,2021-05-13,804321,
Savannah Garcia,,Erik Williams,,,,"8815 Steven Grove, Jessicastad, MO 59430",Jessicastad,MO,,Land/Lot,2021-09-10,369106,Contingent on inspection
Erin Warner,278-40-4119,Christina Brooks,166-70-8690,,,"182 Nguyen Mount, Lake Jasonview, WV 15437",Lake Jasonview,WV,4855,Multi-Family,2023-11-06,768749,
Michael Mitchell,233-96-1481,Julie Curry,054-45-3674,Derek Anderson,661-39-7492,"86688 Paul Glens Apt. 517, Meredithberg, AS 49138",Meredithberg,AS,1265,Townhouse,2023-08-02,312601,
Tyler Holmes,052-72-4083,Michelle Harris,650-34-8281,,,"6291 Hansen Row Suite 281, Christopherberg, PW 85176",Christopherberg,PW,3466,Single-Family Home,2023-05-18,672045,
Brenda White,,Richard Baker,639-89-6513,,,"9930 Jackson Roads Suite 230, South Brandytown, PA 75548",South Brandytown,PA,,Land/Lot,2021-04-17,267797,
Paul Jones,,Lisa Allen,,,,"1418 Terri Drives, Milesland, SC 70806",Milesland,SC,1955,Townhouse,2021-08-16,470812,Foreclosure
Kevin Lynn,,Tara Gamble,,,,"3364 Taylor Street, Lindseychester, GA 43959",Lindseychester,GA,,Land/Lot,2022-04-04,194107,
John Allen,,Mr. Martin Hernandez,847-72-0895,Timothy Wagner,481-64-2710,"3177 Miller Parks Suite 517, Brentbury, OH 98180",Brentbury,OH,3798,Single-Family Home,2023-11-04,1448432,
Shannon Smith,,Kimberly Robinson,604-36-0107,Heather Foster,601-26-8483,"8815 Steven Grove, Jessicastad, MO 59430",Jessicastad,MO,,Land/Lot,2024-09-20,399318,
Autumn Smith,671-27-5176,John Hall,880-11-4642,,,"9562 Julie Mission Apt. 138, West Angie, NJ 53003",West Angie,NJ,605,Condominium,2022-02-05,222076,
Tracy Torres,505-15-1593,Cynthia Wilson,584-32-9486,,,"622 Patel Forks Suite 160, Keithville, AL 57677",Keithville,AL,1497,Condominium,2021-07-21,442488,Short sale
Savannah Garcia,,Joshua Kim,613-06-7079,,,"51238 Andrea Isle, Carloston, AS 73881",Carloston,AS,2265,Townhouse,2024-12-24,496021,Cash sale
Paul Thompson,136-70-5995,Richard Baker,639-89-6513,,,"06038 Fields Square, Cuevasborough, VA 01758",Cuevasborough,VA,901,Condominium,2021-06-23,302299,Estate sale
Cynthia Wilson,584-32-9486,Erik Williams,,,,"0148 Harry Vista Suite 039, New Samanthabury, IL 19400",New Samanthabury,IL,,Land/Lot,2024-01-02,240286,Cash sale
Caleb King,719-20-3367,Lindsey Parsons,,Michael Calhoun,,"5779 Warren Dam Suite 231, Kaufmanbury, NC 67942",Kaufmanbury,NC,,Land/Lot,2024-03-03,177432,
John Peterson,053-33-7828,Robert Evans,680-14-2201,,,"960 Preston Isle, Johnsonview, MO 91008",Johnsonview,MO,9439,Commercial,2024-10-17,2619245,Estate sale
Charles Frost,,Rebecca Mendez,701-91-0853,,,"09883 Emily Lake Apt. 021, Port Diane, AS 36668",Port Diane,AS,,Land/Lot,2024-02-11,397818,
Shannon Smith,,Mario Skinner,,Brian Bruce,377-15-4565,"49021 Elizabeth Valley Suite 938, Williamsmouth, NH 08494",Williamsmouth,NH,8491,Commercial,2022-08-22,2492375,
Thomas Schmidt,,Zachary Ferrell,076-69-3493,,,"1825 Gregory Plain Suite 823, Brooksfurt, NV 00956",Brooksfurt,NV,2213,Townhouse,2023-11-09,470830,
Mrs. Brittany Ryan MD,,Christian Lewis,,Jeffrey Daniels,310-79-8667,"53654 Ashley Crest Apt. 238, Port Austin, AS 06520",Port Austin,AS,,Land/Lot,2022-09-24,302927,
Margaret Mullins,106-02-9406,Aaron Barber,858-76-9502,Shelly Alexander,,"22927 Robert Springs Apt. 794, Nancyberg, PA 99118",Nancyberg,PA,2138,Townhouse,2024-09-04,525290,Estate sale
Paul Young,,Jonathan Peterson,870-54-8032,,,"696 Michael Vista Suite 924, Emilyfort, NC 81042",Emilyfort,NC,2035,Townhouse,2023-03-23,536926,Cash sale
Kimberly Smith,,Janet Ross,152-84-0091,,,"8149 Tyler Pass Suite 079, Port Rachelmouth, AS 22374",Port Rachelmouth,AS,6991,Commercial,2022-03-09,2209135,Foreclosure
Trevor Fisher,,Adam Jones,708-20-8939,Gina Wilson,078-19-3697,"8662 Miller River, Kristenmouth, NM 39216",Kristenmouth,NM,,Land/Lot,2023-06-27,228227,1031 exchange
Mark Lewis,702-55-1703,Tyler Medina,008-81-1073,Ronald Johns,760-56-1182,"10248 Bailey Forks, North Stephen, MA 34402",North Stephen,MA,,Land/Lot,2023-06-21,237122,
Dr. Ashley James MD,,Joseph Ramos,285-24-9591,,,"05411 Ford Plaza Apt. 793, West Williamport, NH 42644",West Williamport,NH,,Land/Lot,2024-07-22,203302,Foreclosure
Pamela Romero,,Krista Gibson,323-33-5297,,,"20472 West Avenue Apt. 043, West Jeffreymouth, CT 20098",West Jeffreymouth,CT,1004,Townhouse,2022-11-07,222838,Cash sale
Lisa Allen,,Norman Cook,422-86-4066,,,"685 Campos Dam, Hickmanport, GA 90850",Hickmanport,GA,2006,Multi-Family,2021-03-28,348461,Contingent on inspection
Rebecca Richmond,653-39-8329,Mary Bryant,350-47-0890,Ashley Gutierrez,571-71-0003,"571 Katherine Forges Apt. 554, Port Shawn, OH 72287",Port Shawn,OH,4170,Multi-Family,2022-03-11,982243,
Nathan Frank,582-77-1392,Margaret Mullins,106-02-9406,,,"2059 Anthony Valleys Suite 078, Robertahaven, MD 47350",Robertahaven,MD,611,Condominium,2023-05-01,193090,Short sale
Jennifer Jones,,Nicole Chambers,231-26-2415,,,"1545 Green Station, Annaport, ME 85890",Annaport,ME,1766,Single-Family Home,2022-10-14,473378,
Alicia Hubbard,,Paul Carroll,296-57-2038,,,"2456 Williams Center, Mitchelltown, PR 75248",Mitchelltown,PR,4032,Commercial,2023-06-20,919706,Cash sale
Jeffrey Chavez,740-93-4316,Nathan Frank,582-77-1392,Michael Calhoun,,"0462 Katie Stream, Isabellaside, AR 85157",Isabellaside,AR,2343,Single-Family Home,2024-02-02,570782,
Aaron Barber,858-76-9502,Angela Patterson,888-60-2978,David Grant,427-78-9767,"103 Burns Mission Apt. 798, West Micheal, NH 46344",West Micheal,NH,,Land/Lot,2021-12-26,258382,
William Richardson,661-46-0993,Shannon Smith,,Heather Foster,601-26-8483,"20472 West Avenue Apt. 043, West Jeffreymouth, CT 20098",West Jeffreymouth,CT,1004,Townhouse,2022-06-20,279109,
